stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,stop_url,location_type,parent_station
2444,,"A. Gustaičio g.",,54.89060,23.87745,https://www.stops.lt/kaunas/index.html#stop/125,,
2445,,"A. Gustaičio g.",,54.89090,23.87649,https://www.stops.lt/kaunas/index.html#stop/126,,
2446,,"Jurgio Dobkevičiaus progimnazija",,54.88913,23.88385,https://www.stops.lt/kaunas/index.html#stop/127,,
2447,,"Jurgio Dobkevičiaus progimnazija",,54.88926,23.88291,https://www.stops.lt/kaunas/index.html#stop/128,,
2443,,"Meteorų g.",,54.89309,23.86999,https://www.stops.lt/kaunas/index.html#stop/123,,
2448,,"S. Dariaus ir S. Girėno g.",,54.88752,23.89255,https://www.stops.lt/kaunas/index.html#stop/129,,
2449,,"S. Dariaus ir S. Girėno g.",,54.88736,23.89287,https://www.stops.lt/kaunas/index.html#stop/130,,
2427,,"Biblioteka",,54.89820,23.86637,https://www.stops.lt/kaunas/index.html#stop/106,,
2428,,"Biblioteka",,54.89791,23.86663,https://www.stops.lt/kaunas/index.html#stop/107,,
2425,,"Bublių g.",,54.90051,23.85676,https://www.stops.lt/kaunas/index.html#stop/104,,
2426,,"Bublių g.",,54.90033,23.85702,https://www.stops.lt/kaunas/index.html#stop/105,,
2431,,"Laiptai",,54.89440,23.87780,https://www.stops.lt/kaunas/index.html#stop/110,,
2432,,"Laiptai",,54.89448,23.87785,https://www.stops.lt/kaunas/index.html#stop/111,,
2429,,"Marvelė",,54.89673,23.87244,https://www.stops.lt/kaunas/index.html#stop/108,,
2430,,"Marvelė",,54.89660,23.87259,https://www.stops.lt/kaunas/index.html#stop/109,,
2423,,"Žirgynas",,54.90280,23.84477,https://www.stops.lt/kaunas/index.html#stop/102,,
2424,,"Žirgynas",,54.90313,23.84390,https://www.stops.lt/kaunas/index.html#stop/103,,
2434,,"Vytauto Didžiojo tiltas",,54.89268,23.88670,https://www.stops.lt/kaunas/index.html#stop/113,,
2699,,"Murava",,54.92690,23.96937,https://www.stops.lt/kaunas/index.html#stop/418,,
2700,,"Murava",,54.92751,23.97008,https://www.stops.lt/kaunas/index.html#stop/419,,
14290,,"Savanorių pr",,54.92938,23.97038,https://www.stops.lt/kaunas/index.html#stop/746,,
14288,,"Savanorių pr.",,54.93024,23.96943,https://www.stops.lt/kaunas/index.html#stop/745,,
2547,,"Apaščios g.",,54.91884,24.04214,https://www.stops.lt/kaunas/index.html#stop/246,,
2580,,"Bruknių takas",,54.90723,24.02313,https://www.stops.lt/kaunas/index.html#stop/284,,
5114,,"Bruknių takas",,54.90808,24.02208,https://www.stops.lt/kaunas/index.html#stop/721,,
2574,,"Naftos bazė",,54.91009,24.02080,https://www.stops.lt/kaunas/index.html#stop/278,,
2575,,"Naftos bazė",,54.90991,24.02069,https://www.stops.lt/kaunas/index.html#stop/279,,
2601,,"Apuokų takas",,54.90260,23.98736,https://www.stops.lt/kaunas/index.html#stop/307,,
2602,,"Apuokų takas",,54.90255,23.98811,https://www.stops.lt/kaunas/index.html#stop/308,,
2600,,"Chemijos g.",,54.89975,23.99951,https://www.stops.lt/kaunas/index.html#stop/306,,
2906,,"Medšarkių takas",,54.90153,23.99257,https://www.stops.lt/kaunas/index.html#stop/628,,
2907,,"Medšarkių takas",,54.90140,23.99259,https://www.stops.lt/kaunas/index.html#stop/629,,
2603,,"Policija",,54.90412,23.98172,https://www.stops.lt/kaunas/index.html#stop/309,,
2604,,"Policija",,54.90395,23.98143,https://www.stops.lt/kaunas/index.html#stop/310,,
2607,,"Draugystės g.",,54.90538,24.00764,https://www.stops.lt/kaunas/index.html#stop/627,,
2608,,"Draugystės g.",,54.90504,24.00719,https://www.stops.lt/kaunas/index.html#stop/314,,
2905,,"Draugystės g.",,54.90550,24.00608,https://www.stops.lt/kaunas/index.html#stop/313,,
2609,,"Gamyklos",,54.90701,24.00056,https://www.stops.lt/kaunas/index.html#stop/316,,
2610,,"Gamyklos",,54.90675,24.00081,https://www.stops.lt/kaunas/index.html#stop/315,,
2611,,"Kauno gelžbetonis",,54.90972,23.98855,https://www.stops.lt/kaunas/index.html#stop/317,,
2612,,"Kauno gelžbetonis",,54.90944,23.98907,https://www.stops.lt/kaunas/index.html#stop/318,,
2618,,"Aksa",,54.91309,24.00586,https://www.stops.lt/kaunas/index.html#stop/324,,
2619,,"Aksa",,54.91325,24.00436,https://www.stops.lt/kaunas/index.html#stop/325,,
2620,,"Elektrėnų g.",,54.91327,23.99770,https://www.stops.lt/kaunas/index.html#stop/326,,
2621,,"Elektrėnų g.",,54.91339,23.99781,https://www.stops.lt/kaunas/index.html#stop/327,,
2616,,"Gaisrinė",,54.91294,24.01185,https://www.stops.lt/kaunas/index.html#stop/322,,
2617,,"Gaisrinė",,54.91311,24.01075,https://www.stops.lt/kaunas/index.html#stop/323,,
2633,,"Garažų g.",,54.92185,23.99874,https://www.stops.lt/kaunas/index.html#stop/340,,
2634,,"Garažų g.",,54.92143,23.99847,https://www.stops.lt/kaunas/index.html#stop/341,,
2631,,"Degalinė",,54.91829,23.98917,https://www.stops.lt/kaunas/index.html#stop/338,,
2632,,"Degalinė",,54.91841,23.98857,https://www.stops.lt/kaunas/index.html#stop/339,,
2624,,"Elektrinė",,54.91798,24.01951,https://www.stops.lt/kaunas/index.html#stop/331,,
2625,,"Elektrinė",,54.91844,24.01835,https://www.stops.lt/kaunas/index.html#stop/332,,
2629,,"Kauno pienas",,54.91861,23.99312,https://www.stops.lt/kaunas/index.html#stop/336,,
2630,,"Kauno pienas",,54.91891,23.99496,https://www.stops.lt/kaunas/index.html#stop/337,,
15632,,"Kauno pienas",,54.91872,23.99236,https://www.stops.lt/kaunas/index.html#stop/335a,,
2568,,"Kitron",,54.91783,24.03240,https://www.stops.lt/kaunas/index.html#stop/272,,
2569,,"Kitron",,54.91812,24.03318,https://www.stops.lt/kaunas/index.html#stop/273,,
2626,,"Regitra",,54.91832,24.00774,https://www.stops.lt/kaunas/index.html#stop/334,,
2627,,"Regitra",,54.91867,24.00673,https://www.stops.lt/kaunas/index.html#stop/333,,
4753,,"Technikos g.",,54.90880,24.00933,https://www.stops.lt/kaunas/index.html#stop/321,,
2636,,"Garažai",,54.92487,24.00809,https://www.stops.lt/kaunas/index.html#stop/343,,
2904,,"Garažai",,54.92502,24.00743,https://www.stops.lt/kaunas/index.html#stop/626,,
2635,,"Kauno termofikacijos elektrinė",,54.92480,24.01570,https://www.stops.lt/kaunas/index.html#stop/342,,
2903,,"Naujasodis",,54.92515,24.00027,https://www.stops.lt/kaunas/index.html#stop/625,,
2909,,"Kapinės",,54.92420,24.07864,https://www.stops.lt/kaunas/index.html#stop/631,,
2549,,"Ateities pl.",,54.91883,24.04255,https://www.stops.lt/kaunas/index.html#stop/281,,
2552,,"Pyvesos g.",,54.91419,24.05006,https://www.stops.lt/kaunas/index.html#stop/251,,
2551,,"Pravienos g.",,54.91731,24.04730,https://www.stops.lt/kaunas/index.html#stop/250,,
2572,,"Ateities pl.",,54.90508,24.02910,https://www.stops.lt/kaunas/index.html#stop/276,,
2573,,"Ateities pl.",,54.90488,24.02870,https://www.stops.lt/kaunas/index.html#stop/280,,
2570,,"Upytės g.",,54.91025,24.03299,https://www.stops.lt/kaunas/index.html#stop/274,,
2571,,"Upytės g.",,54.90948,24.03204,https://www.stops.lt/kaunas/index.html#stop/275,,
2558,,"Keramzito g.",,54.91780,24.07378,https://www.stops.lt/kaunas/index.html#stop/258,,
2559,,"Keramzito g.",,54.91815,24.07340,https://www.stops.lt/kaunas/index.html#stop/259,,
2554,,"Parko g.",,54.91295,24.06224,https://www.stops.lt/kaunas/index.html#stop/255,,
2555,,"Parko g.",,54.91187,24.06063,https://www.stops.lt/kaunas/index.html#stop/254,,
2562,,"S. Nėries muziejus",,54.91063,24.05861,https://www.stops.lt/kaunas/index.html#stop/262,,
2563,,"S. Nėries muziejus",,54.91048,24.05803,https://www.stops.lt/kaunas/index.html#stop/263,,
2564,,"Šilėnų g.",,54.90792,24.05314,https://www.stops.lt/kaunas/index.html#stop/264,,
2565,,"Šilėnų g.",,54.90750,24.05151,https://www.stops.lt/kaunas/index.html#stop/265,,
2561,,"Neveronių g.",,54.91983,24.07660,https://www.stops.lt/kaunas/index.html#stop/261,,
2560,,"Kauno tiekimas",,54.92308,24.07299,https://www.stops.lt/kaunas/index.html#stop/260,,
4697,,"Kražantės g.",,54.91820,24.05752,https://www.stops.lt/kaunas/index.html#stop/40,,
2576,,"Naktigonės  g.",,54.90137,24.02838,https://www.stops.lt/kaunas/index.html#stop/277,,
2577,,"Naktigonės  g.",,54.90157,24.02805,https://www.stops.lt/kaunas/index.html#stop/248,,
2553,,"Palemono g.",,54.91468,24.05795,https://www.stops.lt/kaunas/index.html#stop/253,,
2566,,"Pervaža",,54.90409,24.03945,https://www.stops.lt/kaunas/index.html#stop/270,,
2567,,"Pervaža",,54.90467,24.04004,https://www.stops.lt/kaunas/index.html#stop/271,,
2556,,"Palemono keramika",,54.91499,24.06446,https://www.stops.lt/kaunas/index.html#stop/256,,
2557,,"Palemono keramika",,54.91426,24.06458,https://www.stops.lt/kaunas/index.html#stop/257,,
4747,,"Palemono keramika",,54.91423,24.06504,https://www.stops.lt/kaunas/index.html#stop/19,,
2550,,"Pravienos g.",,54.91794,24.04671,https://www.stops.lt/kaunas/index.html#stop/249,,
2517,,"A. Smetonos al.",,54.86932,23.96246,https://www.stops.lt/kaunas/index.html#stop/207,,
2518,,"A. Smetonos al.",,54.86888,23.96189,https://www.stops.lt/kaunas/index.html#stop/208,,
2514,,"Mažoji g.",,54.86581,23.95837,https://www.stops.lt/kaunas/index.html#stop/204,,
2525,,"Vaidoto g.",,54.87161,23.97738,https://www.stops.lt/kaunas/index.html#stop/215,,
2519,,"Gailutės g.",,54.87236,23.96527,https://www.stops.lt/kaunas/index.html#stop/209,,
2520,,"Gailutės g.",,54.87220,23.96556,https://www.stops.lt/kaunas/index.html#stop/210,,
2523,,"J. Staugaičio g.",,54.87166,23.97240,https://www.stops.lt/kaunas/index.html#stop/213,,
2524,,"J. Staugaičio g.",,54.87156,23.97253,https://www.stops.lt/kaunas/index.html#stop/214,,
2527,,"Kurtinių g.",,54.86465,23.97644,https://www.stops.lt/kaunas/index.html#stop/218,,
2528,,"Kurtinių g.",,54.86455,23.97683,https://www.stops.lt/kaunas/index.html#stop/219,,
2513,,"Mažoji g.",,54.86517,23.95835,https://www.stops.lt/kaunas/index.html#stop/203,,
2512,,"Tilto g.",,54.86238,23.95867,https://www.stops.lt/kaunas/index.html#stop/202,,
2504,,"Jiesios pl.",,54.85627,23.94418,https://www.stops.lt/kaunas/index.html#stop/194,,
2505,,"Karinis dalinys",,54.85835,23.95011,https://www.stops.lt/kaunas/index.html#stop/195,,
2506,,"Karinis dalinys",,54.85834,23.94954,https://www.stops.lt/kaunas/index.html#stop/196,,
2521,,"KTU inžinerijos licėjus",,54.86781,23.97194,https://www.stops.lt/kaunas/index.html#stop/211,,
2522,,"KTU inžinerijos licėjus",,54.86740,23.97078,https://www.stops.lt/kaunas/index.html#stop/212,,
2942,,"Panemunė",,54.86165,23.95797,https://www.stops.lt/kaunas/index.html#stop/664,,
2515,,"Smėlio g.",,54.86535,23.96740,https://www.stops.lt/kaunas/index.html#stop/205,,
2516,,"Smėlio g.",,54.86442,23.96536,https://www.stops.lt/kaunas/index.html#stop/206,,
2511,,"Tilto g.",,54.86245,23.96107,https://www.stops.lt/kaunas/index.html#stop/201,,
2529,,"Onkologijos ligoninė",,54.86073,23.97485,https://www.stops.lt/kaunas/index.html#stop/220,,
14922,,"Volungių g.",,54.86223,23.97738,https://www.stops.lt/kaunas/index.html#stop/694,,
14923,,"Volungių g.",,54.86153,23.97747,https://www.stops.lt/kaunas/index.html#stop/695,,
2352,,"Kuršėnų g.",,54.92222,23.90043,https://www.stops.lt/kaunas/index.html#stop/29,,
2353,,"Kuršėnų g.",,54.92322,23.90168,https://www.stops.lt/kaunas/index.html#stop/28,,
2344,,"Pikulo g.",,54.92894,23.90691,https://www.stops.lt/kaunas/index.html#stop/21,,
2345,,"Pikulo g.",,54.92908,23.90738,https://www.stops.lt/kaunas/index.html#stop/20,,
2334,,"Šiaurinio aplinkkelio tiltas",,54.93600,23.91063,https://www.stops.lt/kaunas/index.html#stop/7,,
5236,,"Šiaurinio aplinkkelio tiltas",,54.93606,23.91102,https://www.stops.lt/kaunas/index.html#stop/752,,
2346,,"Skaudvilės g.",,54.92702,23.90548,https://www.stops.lt/kaunas/index.html#stop/22,,
2347,,"Skaudvilės g.",,54.92641,23.90451,https://www.stops.lt/kaunas/index.html#stop/23,,
2594,,"Kausta",,54.89226,24.00094,https://www.stops.lt/kaunas/index.html#stop/300,,
2595,,"Kausta",,54.89272,23.99947,https://www.stops.lt/kaunas/index.html#stop/301,,
2596,,"Ketaus liejykla",,54.89462,23.98842,https://www.stops.lt/kaunas/index.html#stop/302,,
2597,,"Ketaus liejykla",,54.89462,23.98736,https://www.stops.lt/kaunas/index.html#stop/303,,
2598,,"Petrašiūnų mokymo centras",,54.89520,23.98337,https://www.stops.lt/kaunas/index.html#stop/304,,
2599,,"Petrašiūnų mokymo centras",,54.89550,23.98274,https://www.stops.lt/kaunas/index.html#stop/305,,
2592,,"Armatūrininkų g.",,54.88972,24.00442,https://www.stops.lt/kaunas/index.html#stop/298,,
