stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,stop_url,location_type,parent_station
5384,,"Girininkija",,54.69459,25.36486,https://www.stops.lt/vilnius/index.html#stop/2309,,
6056,,"Ievų st.",,54.69433,25.40838,https://www.stops.lt/vilnius/index.html#stop/2344,,
6057,,"Ievų st.",,54.69430,25.40698,https://www.stops.lt/vilnius/index.html#stop/2343,,
6054,,"Jankos Kupalos st.",,54.69432,25.40168,https://www.stops.lt/vilnius/index.html#stop/2338,,
6055,,"Jankos Kupalos st.",,54.69445,25.40140,https://www.stops.lt/vilnius/index.html#stop/2337,,
5385,,"Kučkuriškės",,54.69551,25.36901,https://www.stops.lt/vilnius/index.html#stop/2311,,
5387,,"Kučkuriškės",,54.69581,25.36955,https://www.stops.lt/vilnius/index.html#stop/2310,,
6062,,"Rugiagėlių st.",,54.69626,25.42181,https://www.stops.lt/vilnius/index.html#stop/2365,,
6064,,"Rugiagėlių st.",,54.69608,25.42021,https://www.stops.lt/vilnius/index.html#stop/2364,,
5390,,"Širšių st.",,54.69566,25.38774,https://www.stops.lt/vilnius/index.html#stop/2320,,
5391,,"Širšių st.",,54.69561,25.38930,https://www.stops.lt/vilnius/index.html#stop/2321,,
5388,,"Užtvankos st.",,54.69670,25.38105,https://www.stops.lt/vilnius/index.html#stop/2318,,
5389,,"Užtvankos st.",,54.69650,25.38113,https://www.stops.lt/vilnius/index.html#stop/2319,,
5382,,"Viadukas",,54.69397,25.34920,https://www.stops.lt/vilnius/index.html#stop/2306,,
342,,"Arimų st.",,54.70248,25.43145,https://www.stops.lt/vilnius/index.html#stop/2375,,
6068,,"Užkiemio st.",,54.69889,25.43281,https://www.stops.lt/vilnius/index.html#stop/2373,,
6069,,"Užkiemio st.",,54.69908,25.43283,https://www.stops.lt/vilnius/index.html#stop/2374,,
5396,,"Dūmų st.",,54.69318,25.40137,https://www.stops.lt/vilnius/index.html#stop/2340,,
5415,,"Dūmų st.",,54.69318,25.40036,https://www.stops.lt/vilnius/index.html#stop/2339,,
6034,,"Grigaičiai",,54.68156,25.41215,https://www.stops.lt/vilnius/index.html#stop/2350,,
6195,,"Galgiai",,54.71935,25.41150,https://www.stops.lt/vilnius/index.html#stop/4603,,
548,,"Kalno st.",,54.70476,25.39286,https://www.stops.lt/vilnius/index.html#stop/2330,,
6221,,"Kalno st.",,54.70491,25.39314,https://www.stops.lt/vilnius/index.html#stop/2377,,
6051,,"Linksmoji st.",,54.69518,25.43604,https://www.stops.lt/vilnius/index.html#stop/2371,,
6052,,"Linksmoji st.",,54.69508,25.43593,https://www.stops.lt/vilnius/index.html#stop/2370,,
6047,,"Naujosios Vilnios žiedas",,54.68593,25.42996,https://www.stops.lt/vilnius/index.html#stop/2357,,
6048,,"Rytų st.",,54.69044,25.43374,https://www.stops.lt/vilnius/index.html#stop/2359,,
6049,,"Rytų st.",,54.68956,25.43274,https://www.stops.lt/vilnius/index.html#stop/2358,,
7588,,"Mildos st.",,54.69302,25.34210,https://www.stops.lt/vilnius/index.html#stop/2301,,
6040,,"Genių st.",,54.68798,25.41324,https://www.stops.lt/vilnius/index.html#stop/2349,,
6041,,"Genių st.",,54.68827,25.41255,https://www.stops.lt/vilnius/index.html#stop/2348,,
6073,,"Naujosios Vilnios žiedas",,54.68558,25.42811,https://www.stops.lt/vilnius/index.html#stop/2356,,
7444,,"Naujosios Vilnios žiedas",,54.68543,25.42889,https://www.stops.lt/vilnius/index.html#stop/2378,,
6044,,"Parko st.",,54.68550,25.42610,https://www.stops.lt/vilnius/index.html#stop/2355,,
6045,,"Parko st.",,54.68561,25.42449,https://www.stops.lt/vilnius/index.html#stop/2354,,
6042,,"Respublikinė psichiatrijos ligoninė",,54.68563,25.41933,https://www.stops.lt/vilnius/index.html#stop/2353,,
6043,,"Respublikinė psichiatrijos ligoninė",,54.68594,25.41868,https://www.stops.lt/vilnius/index.html#stop/2352,,
6035,,"Grigaičiai",,54.68198,25.41263,https://www.stops.lt/vilnius/index.html#stop/2351,,
6225,,"Tremtinių st.",,54.69260,25.41063,https://www.stops.lt/vilnius/index.html#stop/2346,,
1129,,"Naujoji Vilnia",,54.69523,25.44039,https://www.stops.lt/vilnius/index.html#stop/2372,,
5406,,"Neries st.",,54.69563,25.42869,https://www.stops.lt/vilnius/index.html#stop/2369,,
5408,,"Neries st.",,54.69572,25.42939,https://www.stops.lt/vilnius/index.html#stop/2368,,
7653,,"Polocko kryptis",,54.69237,25.46002,https://www.stops.lt/vilnius/index.html#stop/2380regio,,
7654,,"Polocko kryptis",,54.69259,25.45939,https://www.stops.lt/vilnius/index.html#stop/2381regio,,
5403,,"Pramonės st.",,54.69435,25.41807,https://www.stops.lt/vilnius/index.html#stop/2363,,
5411,,"Pramonės st.",,54.69448,25.41865,https://www.stops.lt/vilnius/index.html#stop/2362,,
5399,,"Tremtinių st.",,54.69310,25.41141,https://www.stops.lt/vilnius/index.html#stop/2347,,
7655,,"Viktariškės",,54.69346,25.48062,https://www.stops.lt/vilnius/index.html#stop/2382regio,,
7656,,"Viktariškės",,54.69299,25.47763,https://www.stops.lt/vilnius/index.html#stop/2383regio,,
6888,,"Rokantiškės",,54.70411,25.36406,https://www.stops.lt/vilnius/index.html#stop/1019,,
5394,,"Alberto Kojelavičiaus st.",,54.69465,25.39674,https://www.stops.lt/vilnius/index.html#stop/2323,,
6230,,"Alberto Kojelavičiaus st.",,54.69631,25.39844,https://www.stops.lt/vilnius/index.html#stop/2324,,
6211,,"Palydovo st.",,54.70100,25.40844,https://www.stops.lt/vilnius/index.html#stop/2331,,
6212,,"Palydovo st.",,54.70112,25.40998,https://www.stops.lt/vilnius/index.html#stop/2332,,
6207,,"Pupojų st.",,54.70272,25.41411,https://www.stops.lt/vilnius/index.html#stop/2334,,
6208,,"Pupojų st.",,54.70183,25.41310,https://www.stops.lt/vilnius/index.html#stop/2333,,
6203,,"Šiaurės st.",,54.70929,25.41681,https://www.stops.lt/vilnius/index.html#stop/2336,,
6204,,"Šiaurės st.",,54.70863,25.41716,https://www.stops.lt/vilnius/index.html#stop/2335,,
6215,,"Uosių st.",,54.69939,25.40195,https://www.stops.lt/vilnius/index.html#stop/2326,,
6217,,"Uosių st.",,54.69903,25.40122,https://www.stops.lt/vilnius/index.html#stop/2325,,
6199,,"Vakario st.",,54.71359,25.41240,https://www.stops.lt/vilnius/index.html#stop/1020,,
6727,,"Lelijų st.",,54.68949,25.40021,https://www.stops.lt/vilnius/index.html#stop/2342,,
6729,,"Lelijų st.",,54.68973,25.40104,https://www.stops.lt/vilnius/index.html#stop/2341,,
7587,,"Mildos st.",,54.69147,25.34376,https://www.stops.lt/vilnius/index.html#stop/2302,,
6721,,"Pūčkoriai",,54.69112,25.36730,https://www.stops.lt/vilnius/index.html#stop/2315,,
6722,,"Pūčkoriai",,54.69145,25.36641,https://www.stops.lt/vilnius/index.html#stop/2314,,
6719,,"Pūčkorių atodanga",,54.69159,25.36010,https://www.stops.lt/vilnius/index.html#stop/2313,,
6732,,"Pūčkorių atodanga",,54.69193,25.35951,https://www.stops.lt/vilnius/index.html#stop/2312,,
6724,,"Stepono Batoro st.",,54.69312,25.37896,https://www.stops.lt/vilnius/index.html#stop/2317,,
6725,,"Stepono Batoro st.",,54.69317,25.37802,https://www.stops.lt/vilnius/index.html#stop/2316,,
5400,,"Tremtinių st.",,54.69290,25.40981,https://www.stops.lt/vilnius/index.html#stop/2345,,
5381,,"Viadukas",,54.69301,25.34898,https://www.stops.lt/vilnius/index.html#stop/2307,,
6218,,"Paparčių st.",,54.70163,25.39411,https://www.stops.lt/vilnius/index.html#stop/2328,,
6219,,"Paparčių st.",,54.70157,25.39462,https://www.stops.lt/vilnius/index.html#stop/2329,,
6216,,"Uosių st.",,54.69943,25.40141,https://www.stops.lt/vilnius/index.html#stop/2327,,
6887,,"Lyglaukiai",,54.70237,25.35381,https://www.stops.lt/vilnius/index.html#stop/2305,,
6883,,"Šilo st.",,54.70009,25.34933,https://www.stops.lt/vilnius/index.html#stop/2304,,
6881,,"Viršupis",,54.69615,25.34496,https://www.stops.lt/vilnius/index.html#stop/2303,,
10317,,"Klonio st.",,54.70586,25.37112,https://www.stops.lt/vilnius/index.html#stop/1030,,
10319,,"Klonio st.",,54.70582,25.37100,https://www.stops.lt/vilnius/index.html#stop/1031,,
16158,,"Gerovės st.",,54.69073,25.41208,https://www.stops.lt/vilnius/index.html#stop/4606,,
16167,,"Gerovės st.",,54.69065,25.41253,https://www.stops.lt/vilnius/index.html#stop/4615,,
16160,,"Karklėnų st.",,54.69042,25.42695,https://www.stops.lt/vilnius/index.html#stop/4608,,
16162,,"Karklėnų st.",,54.69036,25.42668,https://www.stops.lt/vilnius/index.html#stop/4610,,
16156,,"Rytų st.",,54.69016,25.43180,https://www.stops.lt/vilnius/index.html#stop/4605,,
16164,,"Žvirblių st.",,54.69070,25.41891,https://www.stops.lt/vilnius/index.html#stop/4612,,
16165,,"Žvirblių st.",,54.69059,25.41844,https://www.stops.lt/vilnius/index.html#stop/4613,,
17007,,"Gerviškių st.",,54.68200,25.42762,https://www.stops.lt/vilnius/index.html#stop/2429,,
17009,,"Gerviškių st.",,54.68233,25.42822,https://www.stops.lt/vilnius/index.html#stop/2431,,
16453,,"Meškonių st.",,54.67988,25.41951,https://www.stops.lt/vilnius/index.html#stop/2426,,
16454,,"Meškonių st.",,54.68002,25.42011,https://www.stops.lt/vilnius/index.html#stop/2427,,
8373,,"Naujoji Vilnia",,54.69526,25.43904,https://www.stops.lt/vilnius/index.html#stop/2379,,
8342,,"Verbų st.",,54.69446,25.44467,https://www.stops.lt/vilnius/index.html#stop/2387regio,,
8343,,"Verbų st.",,54.69455,25.44464,https://www.stops.lt/vilnius/index.html#stop/2388regio,,
10612,,"Duburio st.",,54.70728,25.39168,https://www.stops.lt/vilnius/index.html#stop/1046,,
14663,,"Duburio st.",,54.70731,25.39033,https://www.stops.lt/vilnius/index.html#stop/1049,,
