stop_id,stop_name,stop_lat,stop_lon,stop_code,stop_desc,zone_id,stop_url,location_type,parent_station,wheelchair_boarding,stop_timezone,vehicle_type,platform_code
16742,"Sietyno st.",54.700370,25.223430,,,16742,"http://www.visimarsrutai.lt/#/stop/result?stopId=16742",,,,,,
16743,"Sietyno st.",54.699670,25.221160,,,16743,"http://www.visimarsrutai.lt/#/stop/result?stopId=16743",,,,,,
16744,"Naujakiemio st.",54.724670,25.281140,,,16744,"http://www.visimarsrutai.lt/#/stop/result?stopId=16744",,,,,,
16745,"Gelvonų st.",54.717640,25.257630,,,16745,"http://www.visimarsrutai.lt/#/stop/result?stopId=16745",,,,,,
16746,"Juozo Tiškevičiaus st.",54.621980,25.112880,,,16746,"http://www.visimarsrutai.lt/#/stop/result?stopId=16746",,,,,,
16747,"Naujakiemio st.",54.723870,25.281440,,,16747,"http://www.visimarsrutai.lt/#/stop/result?stopId=16747",,,,,,
16748,"Gelvonų st.",54.718380,25.257670,,,16748,"http://www.visimarsrutai.lt/#/stop/result?stopId=16748",,,,,,
16749,"Simono Stanevičiaus st.",54.726100,25.254180,,,16749,"http://www.visimarsrutai.lt/#/stop/result?stopId=16749",,,,,,
16750,"Didlaukio st.",54.729030,25.269260,,,16750,"http://www.visimarsrutai.lt/#/stop/result?stopId=16750",,,,,,
16751,"Simono Stanevičiaus st.",54.725200,25.253720,,,16751,"http://www.visimarsrutai.lt/#/stop/result?stopId=16751",,,,,,
16752,Panorama,54.699150,25.257040,,,16752,"http://www.visimarsrutai.lt/#/stop/result?stopId=16752",,,,,,
16753,"Didlaukio st.",54.729150,25.271620,,,16753,"http://www.visimarsrutai.lt/#/stop/result?stopId=16753",,,,,,
16754,"Jovaro st.",54.722870,25.254070,,,16754,"http://www.visimarsrutai.lt/#/stop/result?stopId=16754",,,,,,
16755,Baltupiai,54.727580,25.278580,,,16755,"http://www.visimarsrutai.lt/#/stop/result?stopId=16755",,,,,,
16756,"Piliakalnio st.",54.699910,25.211750,,,16756,"http://www.visimarsrutai.lt/#/stop/result?stopId=16756",,,,,,
16758,"Jovaro st.",54.723840,25.253960,,,16758,"http://www.visimarsrutai.lt/#/stop/result?stopId=16758",,,,,,
16759,"Piliakalnio st.",54.699430,25.212480,,,16759,"http://www.visimarsrutai.lt/#/stop/result?stopId=16759",,,,,,
16760,"Medeinos st.",54.729670,25.219020,,,16760,"http://www.visimarsrutai.lt/#/stop/result?stopId=16760",,,,,,
16761,"Juozo Tiškevičiaus st.",54.621350,25.113290,,,16761,"http://www.visimarsrutai.lt/#/stop/result?stopId=16761",,,,,,
16762,"Paberžės st.",54.716160,25.254810,,,16762,"http://www.visimarsrutai.lt/#/stop/result?stopId=16762",,,,,,
16763,"Bistryčios st.",54.708400,25.330440,,,16763,"http://www.visimarsrutai.lt/#/stop/result?stopId=16763",,,,,,
16765,"Televizijos bokštas",54.690920,25.214860,,,16765,"http://www.visimarsrutai.lt/#/stop/result?stopId=16765",,,,,,
16766,"Skalvių st.",54.734710,25.220050,,,16766,"http://www.visimarsrutai.lt/#/stop/result?stopId=16766",,,,,,
16768,"Gelvonėlio st.",54.714430,25.256770,,,16768,"http://www.visimarsrutai.lt/#/stop/result?stopId=16768",,,,,,
16769,"Gelvonėlio st.",54.715050,25.257410,,,16769,"http://www.visimarsrutai.lt/#/stop/result?stopId=16769",,,,,,
16770,"Jono Kazlausko st.",54.721450,25.285020,,,16770,"http://www.visimarsrutai.lt/#/stop/result?stopId=16770",,,,,,
16771,"Trakų st.",54.680040,25.276280,,,16771,"http://www.visimarsrutai.lt/#/stop/result?stopId=16771",,,,,,
16772,"Šeškinės kalvos",54.710850,25.256220,,,16772,"http://www.visimarsrutai.lt/#/stop/result?stopId=16772",,,,,,
16774,"Jono Kazlausko st.",54.722410,25.283810,,,16774,"http://www.visimarsrutai.lt/#/stop/result?stopId=16774",,,,,,
16775,"Šiaurės miestelis",54.711820,25.305090,,,16775,"http://www.visimarsrutai.lt/#/stop/result?stopId=16775",,,,,,
16777,"Vytauto Andriaus Graičiūno st.",54.608140,25.160000,,,16777,"http://www.visimarsrutai.lt/#/stop/result?stopId=16777",,,,,,
16778,"Verslo st.",54.639330,25.259340,,,16778,"http://www.visimarsrutai.lt/#/stop/result?stopId=16778",,,,,,
16779,Viršuliškės,54.706830,25.226230,,,16779,"http://www.visimarsrutai.lt/#/stop/result?stopId=16779",,,,,,
16780,Strelčiukai,54.677900,25.396910,,,16780,"http://www.visimarsrutai.lt/#/stop/result?stopId=16780",,,,,,
16781,"Verslo st.",54.638980,25.258820,,,16781,"http://www.visimarsrutai.lt/#/stop/result?stopId=16781",,,,,,
16782,Strelčiukai,54.677830,25.398690,,,16782,"http://www.visimarsrutai.lt/#/stop/result?stopId=16782",,,,,,
16785,"Bistryčios st.",54.708390,25.329560,,,16785,"http://www.visimarsrutai.lt/#/stop/result?stopId=16785",,,,,,
16786,Pavilnys,54.671710,25.361780,,,16786,"http://www.visimarsrutai.lt/#/stop/result?stopId=16786",,,,,,
16787,"Paberžės st.",54.716170,25.253580,,,16787,"http://www.visimarsrutai.lt/#/stop/result?stopId=16787",,,,,,
16788,"Petro Vileišio st.",54.703130,25.310020,,,16788,"http://www.visimarsrutai.lt/#/stop/result?stopId=16788",,,,,,
16789,"Zarasų st.",54.676240,25.310400,,,16789,"http://www.visimarsrutai.lt/#/stop/result?stopId=16789",,,,,,
16790,"Zarasų st.",54.676580,25.309400,,,16790,"http://www.visimarsrutai.lt/#/stop/result?stopId=16790",,,,,,
16792,"Gamtininkų st.",54.674920,25.367520,,,16792,"http://www.visimarsrutai.lt/#/stop/result?stopId=16792",,,,,,
16794,"Vilnelės st.",54.674650,25.319480,,,16794,"http://www.visimarsrutai.lt/#/stop/result?stopId=16794",,,,,,
16795,"Gamtininkų st.",54.675010,25.368440,,,16795,"http://www.visimarsrutai.lt/#/stop/result?stopId=16795",,,,,,
16796,"Gilužio st.",54.704000,25.174380,,,16796,"http://www.visimarsrutai.lt/#/stop/result?stopId=16796",,,,,,
16797,"Hidrogeologijos st.",54.642950,25.262670,,,16797,"http://www.visimarsrutai.lt/#/stop/result?stopId=16797",,,,,,
16798,"Vilnelės st.",54.674900,25.318790,,,16798,"http://www.visimarsrutai.lt/#/stop/result?stopId=16798",,,,,,
16799,Alėja,54.677210,25.382910,,,16799,"http://www.visimarsrutai.lt/#/stop/result?stopId=16799",,,,,,
16800,"Hidrogeologijos st.",54.643440,25.263210,,,16800,"http://www.visimarsrutai.lt/#/stop/result?stopId=16800",,,,,,
16801,Alėja,54.677180,25.384280,,,16801,"http://www.visimarsrutai.lt/#/stop/result?stopId=16801",,,,,,
16802,"Klinikų st.",54.711610,25.315730,,,16802,"http://www.visimarsrutai.lt/#/stop/result?stopId=16802",,,,,,
16803,"Džocharo Dudajevo skv.",54.695850,25.255850,,,16803,"http://www.visimarsrutai.lt/#/stop/result?stopId=16803",,,,,,
16805,"Mikalojaus Katkaus st.",54.700780,25.292460,,,16805,"http://www.visimarsrutai.lt/#/stop/result?stopId=16805",,,,,,
16806,"Pūčkorių atodanga",54.691590,25.360100,,,16806,"http://www.visimarsrutai.lt/#/stop/result?stopId=16806",,,,,,
16807,Turniškės,54.745120,25.327530,,,16807,"http://www.visimarsrutai.lt/#/stop/result?stopId=16807",,,,,,
16808,"Salomėjos Nėries st.",54.737290,25.232450,,,16808,"http://www.visimarsrutai.lt/#/stop/result?stopId=16808",,,,,,
16809,Antakalnis,54.721060,25.318210,,,16809,"http://www.visimarsrutai.lt/#/stop/result?stopId=16809",,,,,,
16810,"Krivių st.",54.688020,25.305310,,,16810,"http://www.visimarsrutai.lt/#/stop/result?stopId=16810",,,,,,
16811,Bireliai,54.821180,25.320660,,,16811,"http://www.visimarsrutai.lt/#/stop/result?stopId=16811",,,,,,
16812,"Vilniaus universitetas",54.724890,25.331340,,,16812,"http://www.visimarsrutai.lt/#/stop/result?stopId=16812",,,,,,
16813,"Karaliaus Mindaugo tiltas",54.688580,25.287410,,,16813,"http://www.visimarsrutai.lt/#/stop/result?stopId=16813",,,,,,
16814,"Emilijos Pliaterytės st.",54.617620,25.116570,,,16814,"http://www.visimarsrutai.lt/#/stop/result?stopId=16814",,,,,,
16815,"Dieveniškių st.",54.634070,25.248800,,,16815,"http://www.visimarsrutai.lt/#/stop/result?stopId=16815",,,,,,
16816,"Aušros vartai",54.673680,25.289490,,,16816,"http://www.visimarsrutai.lt/#/stop/result?stopId=16816",,,,,,
16817,"Dieveniškių st.",54.633830,25.249330,,,16817,"http://www.visimarsrutai.lt/#/stop/result?stopId=16817",,,,,,
16819,Užusienis,54.632980,25.239430,,,16819,"http://www.visimarsrutai.lt/#/stop/result?stopId=16819",,,,,,
16820,"Emilijos Pliaterytės st.",54.617000,25.116740,,,16820,"http://www.visimarsrutai.lt/#/stop/result?stopId=16820",,,,,,
16821,"Liubarto tiltas",54.688930,25.256910,,,16821,"http://www.visimarsrutai.lt/#/stop/result?stopId=16821",,,,,,
16822,"Jokūbo Jasinskio st.",54.688120,25.263290,,,16822,"http://www.visimarsrutai.lt/#/stop/result?stopId=16822",,,,,,
16823,"Rodūnios kelias",54.641680,25.277890,,,16823,"http://www.visimarsrutai.lt/#/stop/result?stopId=16823",,,,,,
16824,"Kelmijos sodai",54.608280,25.243820,,,16824,"http://www.visimarsrutai.lt/#/stop/result?stopId=16824",,,,,,
16825,"Tremtinių st.",54.692900,25.409810,,,16825,"http://www.visimarsrutai.lt/#/stop/result?stopId=16825",,,,,,
16826,"Kelmijos sodai",54.607890,25.244040,,,16826,"http://www.visimarsrutai.lt/#/stop/result?stopId=16826",,,,,,
16827,"Ukmergės st.",54.713280,25.251660,,,16827,"http://www.visimarsrutai.lt/#/stop/result?stopId=16827",,,,,,
16828,"Ašmenėlės st.",54.660280,25.355590,,,16828,"http://www.visimarsrutai.lt/#/stop/result?stopId=16828",,,,,,
16829,"Lelijų st.",54.689730,25.401040,,,16829,"http://www.visimarsrutai.lt/#/stop/result?stopId=16829",,,,,,
16830,"Ašmenėlės st.",54.660350,25.355360,,,16830,"http://www.visimarsrutai.lt/#/stop/result?stopId=16830",,,,,,
16831,"Ukmergės st.",54.712450,25.249740,,,16831,"http://www.visimarsrutai.lt/#/stop/result?stopId=16831",,,,,,
16832,"Tverečiaus st.",54.716190,25.316460,,,16832,"http://www.visimarsrutai.lt/#/stop/result?stopId=16832",,,,,,
16833,"Liudviko Zamenhofo st.",54.741060,25.228890,,,16833,"http://www.visimarsrutai.lt/#/stop/result?stopId=16833",,,,,,
16834,Pūčkoriai,54.691450,25.366410,,,16834,"http://www.visimarsrutai.lt/#/stop/result?stopId=16834",,,,,,
