Transportas,Marsrutas,ReisoID,MasinosNumeris,Ilguma,Platuma,Greitis,Azimutas,ReisoPradziaMinutemis,NuokrypisSekundemis,MatavimoLaikas,MasinosTipas,
Autobusai,5G,17311091632,4574,25331388,54724808,19,298,992,-16,59684,KWNZD,
Autobusai,34,17283111539,3039,25265200,54757668,0,304,939,0,59831,KZ,
Autobusai,19,16506531604,741,25286168,54671398,0,252,964,0,59750,KZ,
Troleibusai,10,17367781547,1672,25340868,54724690,0,194,947,0,59812,,
Autobusai,66,17337621626,755,25350010,54795458,38,170,986,237,59835,KZ,
Troleibusai,19,17368001624,2620,25222448,54700318,15,200,984,34,59840,,
Autobusai,20,17375391624,7024,25152688,54632938,1,256,984,29,59768,KWNZ,
Troleibusai,4,17368171552,1676,25211590,54647280,7,226,952,-68,59830,,
Autobusai,69,17181091618,4527,25282098,54723340,34,146,978,-72,59831,KWNZ,
Autobusai,52,16215211632,945,25279398,54690170,0,128,992,-7,59832,Z,
Autobusai,14,17275551627,7030,25407038,54694270,0,262,987,63,59644,KWNZ,
Autobusai,23,16492371628,3112,25276050,54672780,0,260,988,-136,59598,KZ,
Autobusai,12,17046381608,4104,25309080,54615240,47,170,968,-70,59829,KWNZ,
Troleibusai,6,17367591618,1727,25250578,54674950,15,48,978,224,59837,KWNZ,
Autobusai,42,17337471601,4167,25284108,54671860,0,100,961,0,59832,KWNZD,
Autobusai,13,17154611611,7003,25311968,54675150,33,156,971,-14,59828,KWNZ,
Autobusai,28,17275701602,7033,25063658,54699988,0,52,962,0,59823,KWNZ,
Autobusai,55,16737511620,8037,25245628,54730690,0,250,980,31,59834,KWNZ,
Troleibusai,2,17330691600,1615,25322340,54724400,42,42,960,-33,59586,,
Autobusai,43,16828031552,8041,25212550,54709338,0,236,952,0,59430,KWNZ,
Autobusai,53,17374941622,4579,25271000,54712808,13,92,982,-121,59832,KWNZD,
Autobusai,16,16663031608,4105,25393318,54605698,0,110,968,0,59826,KWNZ,
Autobusai,62,16417331610,7061,25122108,54648268,11,340,970,17,59838,KWNZ,
Autobusai,58,16799621625,951,25397700,54656448,66,294,985,19,59582,Z,
Autobusai,51,16417191628,2-17178,25144918,54597630,57,306,988,-10,59840,,
Autobusai,40,,4106,25251460,54710540,27,334,,,58533,KWNZ,
Autobusai,3,16662991549,4504,25274978,54672628,0,82,949,370,59824,KWNZ,
Troleibusai,17,17330981546,1734,25274200,54662880,0,48,946,0,59823,KWNZ,
Autobusai,115,17375171619,4546,25393090,54705910,34,360,979,-10,59830,KWNZ,
Autobusai,30,16202861556,788,25300688,54710888,0,198,956,0,59833,KZ,
Troleibusai,17,17330861558,1702,25272558,54666378,28,164,958,-42,59833,KZ,
Autobusai,89,17375071343,4615,25294988,54720938,0,92,823,0,59785,KZ,
Autobusai,78,16663151615,4172,25260728,54640590,38,34,975,54,59832,KWNZD,
Autobusai,53,17374921550,4582,25283370,54671140,7,152,950,7,59827,KWNZD,
Troleibusai,19,17367981609,2759,25281088,54694710,0,108,969,39,59825,KWNZ,
Autobusai,49,17180981607,943,25247900,54699770,35,272,967,156,59834,Z,
Autobusai,116,16341241617,7044,25189768,54678100,42,306,977,-24,59838,KWNZ,
Autobusai,114,17310731614,7054,25332868,54708628,19,266,974,46,59767,KWNZ,
Troleibusai,4,17368111620,1743,25248698,54673960,1,56,980,118,59830,KWNZ,
Autobusai,49,17180951556,4122,25277068,54704188,7,100,956,19,59827,KWNZ,
Autobusai,5G,17311071609,4576,25278848,54713050,32,84,969,431,59832,KWNZD,
Troleibusai,6,17367541633,1112,25301548,54721178,23,152,993,-93,59831,,
Troleibusai,12,16493181619,1605,25286078,54694470,22,260,979,-97,59824,,
Autobusai,50,16215101643,4117,25318258,54722298,0,192,1003,0,59797,KWNZ,
Autobusai,1G,17218051551,4152,25282308,54762528,0,110,951,0,59833,KWNZD,
Autobusai,50,16215121629,764,25264620,54748158,48,214,989,118,59821,Z,
Autobusai,2G,16842631620,4180,25240358,54730068,46,260,980,34,59828,KWNZ,
Autobusai,87,16663201547,4505,25199750,54764718,5,148,947,362,59830,KWNZ,
Autobusai,43,16828061619,8009,25238620,54712828,0,130,979,-11,59526,KWNZ,
Autobusai,12,17046421631,4111,25298818,54664878,38,170,991,-28,59826,KWNZ,
Autobusai,20,17375351549,7022,25213628,54677958,0,280,949,21,59708,KWNZ,
Autobusai,37,15657201605,942,25363968,54704000,0,256,965,0,59839,Z,
Autobusai,49,17180971547,4506,25200250,54673270,31,222,947,272,59824,KWNZ,
Autobusai,35,17337321621,958,25284510,54750818,28,242,981,23,59714,Z,
Troleibusai,6,17367571538,1701,25202030,54643740,0,218,938,0,59806,KZ,
Autobusai,18,17219761544,4125,25430730,54685530,2,52,944,86,59825,KWNZ,
Troleibusai,3,17274211532,2747,25205918,54684300,0,186,932,0,59403,KWNZ,
Troleibusai,9,17274871556,2708,25305160,54713708,37,2,956,-95,59531,,
Autobusai,3G,17337201633,4568,25271508,54652298,30,352,993,48,59824,KWNZD,
Autobusai,2G,16842651541,4154,25281368,54756188,0,18,941,0,59832,KWNZD,
Autobusai,11,16239951622,7014,25279038,54686950,8,12,982,88,59826,KWNZ,
Autobusai,17,16663061625,968,25372598,54761530,0,254,985,-12,59823,Z,
Troleibusai,19,17368021549,2683,25324500,54725838,28,42,949,10,59834,KZ,
Autobusai,55,16737551633,8022,25279208,54748248,0,186,993,-59,59831,KWNZ,
Troleibusai,10,17367751601,1735,25287040,54714758,0,18,961,273,59835,KWNZ,
Autobusai,13,17154621551,7016,25359368,54679228,0,262,951,0,59404,KWNZ,
Autobusai,56,17337581621,4507,25256820,54711300,0,148,981,-80,59593,KWNZ,
Autobusai,5,17311171636,4508,25219238,54734830,13,212,996,16,59823,KWNZ,
Autobusai,59,16227971637,3110,25081688,54674900,20,16,997,-29,59819,KWNZ,
Autobusai,1G,17218101617,4171,25283270,54701940,34,192,977,-36,59820,KWNZD,
Autobusai,33,17219881631,4528,25341688,54662590,21,270,991,15,59824,KWNZ,
Autobusai,6G,16213391619,990,25376590,54692528,43,68,979,-117,59834,Z,
Autobusai,6G,16213401629,778,25422598,54685630,0,274,989,-8,59411,Z,
Autobusai,52,16215231604,960,25279050,54695018,0,112,964,246,59836,Z,
Troleibusai,18,17038771619,2647,25238080,54667670,3,18,979,224,59824,,
Troleibusai,13,17368291626,2546,25222808,54719760,41,182,986,-3,59528,,
Troleibusai,6,17367691531,1733,25295078,54726848,0,202,931,0,59478,KWNZ,
Autobusai,73,16737301532,3118,25212678,54709158,0,50,932,0,59780,KWNZ,
Troleibusai,2,17330741609,1740,25308730,54697748,42,6,969,292,59827,KWNZ,
Autobusai,52,16215251621,4522,25223728,54741798,19,140,981,434,59838,KWNZ,
Troleibusai,9,17274921617,2129,25270578,54697560,33,110,977,-58,59774,,
Autobusai,32,17078771620,784,25187850,54724138,1,310,980,66,59827,KZ,
Autobusai,34,17283130808,760,25264690,54757668,0,264,488,9,59229,KZ,
Autobusai,53,17374911610,747,25285560,54708150,0,20,970,183,59766,KZ,
Troleibusai,21,16493541622,1720,25305330,54715380,30,2,982,2,59833,Z,
Autobusai,4G,17343861615,8007,25288668,54694858,4,260,975,-52,59792,KWNZ,
Autobusai,38,,7063,25417458,54754848,22,124,,,59146,KWNZ,
Troleibusai,17,17330901618,1738,25287288,54688458,0,122,978,-16,59830,KWNZ,
Autobusai,50,16215111559,4102,25265118,54739358,31,348,959,155,59827,KWNZ,
Troleibusai,12,16493121553,1628,25237020,54668460,14,178,953,-35,59827,,
Autobusai,57,17154731650,7039,25241250,54739660,0,226,1010,0,59799,KWNZ,
Troleibusai,16,17367831617,2716,25211908,54689480,28,226,977,-59,59652,KZ,
Autobusai,34,17283101605,938,25291010,54701590,44,142,965,-51,59768,Z,
Troleibusai,10,17367731617,1659,25298590,54718490,0,238,977,49,59823,,
Autobusai,54,16492391549,3115,25172100,54701850,0,212,949,0,59832,KWNZ,
Autobusai,75,16203171551,3113,25265218,54736608,24,64,951,-93,59834,KWNZ,
Autobusai,8,17031671624,967,25137148,54629218,15,158,984,-55,59834,Z,
Autobusai,3,16662971604,4511,25250308,54605878,19,192,964,-106,59819,KWNZ,
Troleibusai,4,17368141559,1745,25237078,54668398,14,176,959,-30,59835,KWNZ,
Autobusai,38,16827641626,7019,25343820,54726570,37,42,986,77,59782,KWNZ,
Autobusai,4G,17343781549,8013,25180498,54707278,16,258,949,3,59711,KWNZ,
Autobusai,78,16663141629,4134,25270088,54671978,16,246,989,53,59832,KWNZ,
Troleibusai,19,17367951602,2684,25254880,54699420,7,278,962,10,59799,KZ,
Autobusai,4G,17343881550,8021,25340858,54724240,12,36,950,0,59620,KWNZ,
Autobusai,2,17046201616,4501,25281960,54650488,35,182,976,0,59535,KWNZ,
