Country Code,Name,Location,Latitude,Longitude,System ID,URL,Auto-Discovery URL
BR,Bike Itaú - Pernambuco,"Recife, BR",-8.0577401,-34.8829629,bike_pe,https://bikeitau.com.br/bikepe,https://rec.publicbikesystem.net/ube/gbfs/v1/
BR,Bike Itaú - Poa,"Porto Alegre, BR",-30.0368176,-51.2089887,bike_poa,https://bikeitau.com.br/bikepoa,https://poa.publicbikesystem.net/ube/gbfs/v1/
BR,Bike Itaú - Rio,"Rio de Janeiro, BR",-22.9068467,-43.1728965,bike_rio,https://bikeitau.com.br/bikerio/,https://riodejaneiro.publicbikesystem.net/ube/gbfs/v1/
BR,Bike Itaú - Riviera,"Riviera, BR",,,rivi_bike,https://www.rivieradesaolourenco.com/rivibike-2/,https://riviera.publicbikesystem.net/ube/gbfs/v1/
BR,Bike Itaú - Salvador,"Salvador, BR",-12.9777334,-38.501648,bike_salvador,https://bikeitau.com.br/bikesalvador/,https://salvador.publicbikesystem.net/ube/gbfs/v1/
BR,Bike Itaú - Sampa,"São Paulo, BR",-23.5557714,-46.6395571,bike_sampa,https://bikeitau.com.br/bikesampa,https://saopaulo.publicbikesystem.net/ube/gbfs/v1/
BR,Bike VV,"Vila Velha, BR",-20.3518079,-40.3079697,bike_vv,https://www.bikevv.com.br/,https://vilavelha.publicbikesystem.net/ube/gbfs/v1/
CA,Accès Vélo,"Saguenay, CA",48.4280529,-71.0684923,saguenay_bike,https://sts.saguenay.ca/infos-pratiques/acces-velo-1/acces-velo,https://saguenay.publicbikesystem.net/customer/gbfs/v2/gbfs.json
CA,àVélo,"Ville de Québec, CA",46.8138783,-71.2079809,avelo_quebec,https://www.rtcquebec.ca/informations-pratiques/services-complementaires/avelo,https://quebec.publicbikesystem.net/customer/gbfs/v2/gbfs.json
CA,Bike Share Toronto,"Toronto, CA",43.653226,-79.3831843,bike_share_toronto,https://www.bikesharetoronto.com/,https://tor.publicbikesystem.net/customer/gbfs/v2/gbfs.json
CA,Bird Calgary,"Calgary, CA",51.0447331,-114.0718831,bird-calgary,https://www.bird.co,https://mds.bird.co/gbfs/v2/public/calgary/gbfs.json
CA,Bird Edmonton,"Edmonton, CA",53.5461245,-113.4938229,bird-edmonton,https://www.bird.co,https://mds.bird.co/gbfs/v2/public/edmonton/gbfs.json
CA,Bird Ottawa,"Ottawa, CA",45.4215296,-75.6971931,bird-ottawa,https://www.bird.co,https://mds.bird.co/gbfs/v2/public/ottawa/gbfs.json
CA,BIXI Montréal,"Montréal, CA",45.5016889,-73.567256,Bixi_MTL,https://www.bixi.com/,https://gbfs.velobixi.com/gbfs/gbfs.json
CA,HOPR Vancouver,"Vancouver, CA",49.2827291,-123.1207375,22,https://gohopr.com/,https://gbfs.hopr.city/api/gbfs/22/
CA,Lime Calgary,"Calgary, CA",51.0447331,-114.0718831,lime_calgary,https://www.li.me/,https://data.lime.bike/api/partners/v2/gbfs/calgary/gbfs.json
